Game,CPU,GPU,RAM,File Size
Lost Light,Intel Core i3-530,AMD Radeon Pro 450,4 GB,10 GB
Nine Sols,Intel Core i5-4460,Unknown,8 GB,15 GB
Far Cry New Dawn,Intel Core i5-2400,AMD Radeon R9 270X,8 GB,30 GB
The Quarry,Intel Core i5-3570  / FX-8350,NVIDIA GeForce GTX 780  / Radeon RX 470,8 GB,50 GB
The Roottrees are Dead,Intel Core 2 Duo Q6867,Intel HD 510,8 GB,1 GB
Keep Driving,Intel Core i3-3220,Intel Media Accelerator 600,8 GB,3 GB
Call of Duty Modern Warfare 3,Intel Core 2 Duo E6600,NVIDIA GeForce 8600 GT,2 GB,16 GB
Ratchet & Clank: Rift Apart,Intel Core i3-8100,NVIDIA GeForce GTX 960,8 GB,Unknown
Returnal,Intel Core i5-6400  / Ryzen 5 1500X,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,60 GB
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Intel Core i7-8700,AMD Radeon R9 270X,8 GB,36 GB
The Dark World : KARMA,Intel Core i3-3220,NVIDIA GeForce GTX 1060,8 GB,40 GB
Zompiercer,Intel Core 2 Duo Q6867,AMD Radeon R5 M230,8 GB,23 GB
F1 2018,Intel Core i3-2130,AMD Radeon HD 7750,8 GB,50 GB
ORDER 13,Intel Core i5-7400,Unknown,8 GB,5 GB
A Quiet Place: The Road Ahead,AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1080,16 GB,50 GB
Virt-A-Mate + vamX,Intel Core i5-4590,AMD Radeon RX 480,16 GB,30 GB
Crysis,Intel Pentium 4 2.80GHz,NVIDIA GeForce 6200,4 GB,12 GB
Only Up!,Intel Core i5-6600,NVIDIA GeForce GTX 1650,8 GB,6 GB
Crysis 3,Intel Core 2 Duo E4600,ATI Radeon HD 5770,3 GB,17 GB
The Emulator,Intel Core i5-12400T,Unknown,4 GB,300 MB
Lost Ark,Intel Core i3-2340UE,AMD Radeon HD 6850,8 GB,50 GB
Core Keeper,Intel Core i5-2300,ATI Radeon HD 5850,8 GB,Unknown
X4: Foundations,Intel Core i5-4590,Unknown,8 GB,35 GB
Rain World,Intel Core i3-2340UE,Intel Media Accelerator 600,4 GB,4 GB
Nordhold,Intel Core i5-1300F,AMD Radeon HD 5450,4 GB,4 GB
NBA 2K24,Intel Core i3-2100,AMD Radeon HD 7770,6 GB,150 GB
Dead Cells,Intel Core i5-12400T,ATI Radeon HD 5750,2 GB,500 MB
Party Animals,Intel Core i3-560,ATI Radeon HD 5870,4 GB,10 GB
BioShock Remastered,Intel Core 2 Duo Q6867,AMD Radeon HD 7770,4 GB,25 GB
Blade and Sorcery,Intel Core i5-1300F,NVIDIA GeForce GTX 1070,8 GB,Unknown
F1® 23,Intel Core i5-9600K,NVIDIA GeForce GTX 1050 Ti,8 GB,80 GB
Universe Sandbox ²,Intel Core 2 Duo Q6867,AMD Radeon R5 M230,4 GB,4 GB
The Long Drive,Intel Core 2 Duo Q6867,Unknown,4 GB,700 MB
Dragon's Dogma: Dark Arisen,Intel Core i5-660,ATI Radeon HD 5870,4 GB,20 GB
Granblue Fantasy: Relink,Intel Core i3-9100  / Ryzen 3 3200G,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,90 GB
Mafia II: Definitive Edition,Intel Core i5-2500K,NVIDIA GeForce GTX 660,6 GB,50 GB
Uncrashed : FPV Drone Simulator,Intel Core i5-1300F,NVIDIA GeForce GTX 770,4 GB,30 GB
Trepang2,Intel Core i5-2550K,NVIDIA GeForce GTX 760,8 GB,35 GB
The Lords of the Fallen,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1060  / Radeon RX 590,8 GB,45 GB
The Outer Worlds,Intel Core i3-3225,NVIDIA GeForce GTX 650 Ti,4 GB,40 GB
Injustice 2,Intel Core i5-750,Unknown,4 GB,52 GB
BONELAB,Intel Core i5-7600,NVIDIA GeForce GTX 1070,8 GB,20 GB
PANICORE,Intel Core i5-7500,Unknown,8 GB,13 GB
INSIDE,Intel Core 2 Quad Q6600,AMD Radeon HD 6570,4 GB,3 GB
Sniper Elite 3,AMD Athlon 64 X2 4200+,ATI Radeon HD 3870,2 GB,18 GB
Just Cause 2,Intel Core 2 Duo E8400,ATI Radeon HD 2600 PRO,2 GB,10 GB
MotoGP™24,Intel Core i5-4590,NVIDIA GeForce GTX 960,8 GB,24 GB
NBA 2K21,Intel Core i3-2100,AMD Radeon HD 7770,4 GB,110 GB
Wo Long: Fallen Dynasty,Intel Core i5-8400,AMD Radeon RX 570,8 GB,60 GB
Wild Hearts,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1060  / Radeon Pro 5500 XT,12 GB,80 GB
Choo-Choo Charles,Intel Core i5-1300F,Unknown,4 GB,3 GB
Eternal Strands,Intel Core i5-9400,Unknown,8 GB,24 GB
Forspoken,Intel Core i7-3770  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 5500,16 GB,150 GB
Granny Remake,Intel 1400,NVIDIA GeForce GTX 1050 Ti,4 GB,4 GB
Brothers: A Tale of Two Sons Remake,Intel Core i7-6700,NVIDIA GeForce GTX 1650,8 GB,35 GB
The Lord of the Rings: Return to Moria,Intel Core i5-6600K,NVIDIA GeForce GTX 1060,8 GB,20 GB
Unrecord,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Where Winds Meet,Intel Core i7-9700  / Ryzen 5 3600X,NVIDIA GeForce GTX 1060  / Radeon RX 480,16 GB,100 GB
